first_name,last_name,price,above_100
Lily-Rose,Crowther,117,True
Teagan,Lynn,198,True
Jerome,Gibbs,39,False
Bobby,O'Moore,157,True
Khalil,Kavanagh,120,True
Huw,Weber,880,True
Eathan,Bishop,172,True
Alysha,Barnard,98,False
Hettie,Santos,122,True
Blaine,Drummond,143,True
Mercy,Ramirez,178,True
Merryn,Rutledge,53,False
Homer,Johns,22,False
Larry,Bender,20,False
Amal,Haynes,178,True
Kevin,Scott,193,True
Yasir,Medrano,87,False
Ksawery,Glass,67,False
Santino,Macgregor,178,True
Laurence,Wicks,41,False
Luka,Baird,34,False
Haniya,Schmidt,111,True
Suhail,Humphrey,189,True
Ira,Clayton,48,False
Kaya,Odonnell,170,True
Angelo,Santana,12,False
Riley,Lloyd,197,True
Kendrick,Raymond,112,True
Ann,Appleton,39,False
Sienna,Kendall,149,True
Tayyibah,Kidd,96,False
Dale,Rodriguez,61,False
Emma,Parkinson,89,False
India,Maxwell,71,False
Manisha,Morales,114,True
Stefan,Tran,88,False
Isobel,Melendez,177,True
Zubair,Clements,7,False
Salahuddin,Mill,170,True
Mitchel,Hirst,29,False
Harlow,Walsh,128,True
Liam,Chavez,96,False
Lacey-Mai,Gilbert,20,False
Tyrique,Weiss,82,False
Harry,Rose,64,False
Jevan,Grey,17,False
Dana,Sheppard,83,False
Cain,Mcfadden,22,False
Cassie,Jones,117,True
Leyla,Miranda,22,False
Lilly-Mai,Bernard,54,False
Dakota,Thomas,2,False
Zeshan,Kim,62,False
Emilia,Anthony,164,True
Kadie,Hurst,166,True
